Number of Paths	Resistance	Occupation Probability
0.0	0.0	0.5
0.0	0.0	0.5125641025641026
0.0	0.0	0.5251282051282051
0.0	0.0	0.5376923076923077
0.0	0.0	0.5502564102564103
0.0	0.0	0.5628205128205128
1.0	199.0	0.5753846153846154
1.0	190.0	0.587948717948718
1.5	163.24103139013454	0.6005128205128205
1.3333333333333333	169.5049261083744	0.6130769230769231
2.0	116.91293158864273	0.6256410256410256
2.3333333333333335	126.4265445219949	0.6382051282051282
2.6666666666666665	88.6251778625544	0.6507692307692308
4.333333333333333	40.3675312592166	0.6633333333333333
4.666666666666667	35.57288106776148	0.6758974358974359
5.666666666666667	30.09899013299165	0.6884615384615385
6.333333333333333	26.278265318344683	0.701025641025641
7.333333333333333	22.4882619407626	0.7135897435897436
9.666666666666666	17.136096880126278	0.7261538461538461
12.0	13.784125174199787	0.7387179487179487
11.333333333333334	13.842840690447067	0.7512820512820513
13.0	12.309635146300373	0.7638461538461538
13.666666666666666	11.604516114863214	0.7764102564102564
14.666666666666666	10.790067935762664	0.788974358974359
17.0	9.294887018266865	0.8015384615384615
19.333333333333332	8.081326520081378	0.8141025641025641
18.666666666666668	8.258739385825058	0.8266666666666667
22.333333333333332	6.878303537930203	0.8392307692307692
26.666666666666668	5.756602585381411	0.8517948717948718
24.666666666666668	6.22077280619622	0.8643589743589744
29.333333333333332	5.184800346383651	0.8769230769230769
30.333333333333332	4.936979559640654	0.8894871794871795
33.666666666666664	4.433456166162158	0.902051282051282
37.0	4.0001531325592685	0.9146153846153846
41.666666666666664	3.5610999892151853	0.9271794871794872
46.666666666666664	3.175021290544566	0.9397435897435897
53.0	2.79448307202723	0.9523076923076923
55.666666666666664	2.6349623545704337	0.9648717948717949
66.0	2.1895394754456246	0.9774358974358974
79.66666666666667	1.8130947709567138	0.99
