Number of Paths	Resistance	Occupation Probability
0.0	0.0	0.5
0.0	0.0	0.5204166666666666
0.0	0.0	0.5408333333333333
0.0	0.0	0.56125
1.0	223.66666666666666	0.5816666666666667
1.0	200.0	0.6020833333333333
2.6	81.61705674703387	0.6225
3.2	60.02639353539323	0.6429166666666667
4.2	41.93243752568203	0.6633333333333333
5.8	29.91146517090366	0.68375
6.6	25.199159528085634	0.7041666666666666
8.6	19.16459388935092	0.7245833333333334
11.0	14.692590867737493	0.745
13.0	12.360761614332622	0.7654166666666666
16.0	9.917099688235378	0.7858333333333334
16.8	9.30597512839196	0.80625
19.0	8.224180458749299	0.8266666666666667
24.4	6.260531230022016	0.8470833333333333
26.8	5.647150531501467	0.8674999999999999
30.0	4.9696986995194035	0.8879166666666667
30.0	4.700476400485296	0.9083333333333333
30.0	4.618251731206133	0.92875
30.0	4.390102551407523	0.9491666666666667
30.0	4.220080398555782	0.9695833333333334
30.0	3.970903688978917	0.99
