Occupation Probability	Resistance
0.5	0.0
0.51	0.0
0.52	0.0
0.53	0.0
0.54	0.0
0.55	0.0
0.56	0.0
0.5700000000000001	210.99999999999997
0.58	307.0
0.59	233.0
0.6	131.46998765340385
0.61	184.86613756613755
0.62	135.57702672354614
0.63	100.71174057167237
0.64	88.2901695780336
0.65	69.84077352390757
0.66	45.408808414550066
0.67	39.175595501506464
0.6799999999999999	30.580714392998487
0.69	25.239480289042678
0.7	26.522310140722464
0.71	22.12730050253124
0.72	18.83525985711424
0.73	17.236524080951774
0.74	17.602793496934034
0.75	16.656171213782947
0.76	16.292329547290745
0.77	16.414890093260503
0.78	15.788319945379353
0.79	15.858606095973476
0.8	15.130284157269852
0.81	15.030773425052406
0.8200000000000001	14.65412473548054
0.8300000000000001	14.40112869848499
0.8400000000000001	14.496105875682535
0.8500000000000001	14.060699912961752
0.86	13.974398571654394
0.87	13.822469223908936
0.88	13.596829816449187
0.89	13.554878960415953
0.9	13.223213435972013
0.91	13.072072815378302
0.9199999999999999	12.924067900633222
0.9299999999999999	12.66704200752279
0.94	12.575697645811882
0.95	12.456341213197238
0.96	12.384767204442074
0.97	12.11638382471017
0.98	11.953406446137532
0.99	11.808343697028334
