	Occupation Probability	Resistance
0	0.5	0.0
1	0.516896551724138	0.0
2	0.5337931034482759	0.0
3	0.5506896551724138	0.0
4	0.5675862068965517	0.0
5	0.5844827586206897	208.0
6	0.6013793103448276	221.66666666666666
7	0.6182758620689655	158.44802389705882
8	0.6351724137931034	81.06638507145155
9	0.6520689655172414	51.066414002585404
10	0.6689655172413793	37.347695153450545
11	0.6858620689655173	27.51838651368585
12	0.7027586206896552	22.602085488755822
13	0.7196551724137931	17.99956048227722
14	0.736551724137931	17.644488543673937
15	0.7534482758620689	16.630015727964892
16	0.7703448275862068	16.238337474163878
17	0.7872413793103448	15.816154352407532
18	0.8041379310344827	15.163949228350498
19	0.8210344827586207	14.932793899412868
20	0.8379310344827586	14.518777698381191
21	0.8548275862068966	14.070229437779503
22	0.8717241379310344	13.73385375045549
23	0.8886206896551724	13.433924171924582
24	0.9055172413793103	12.981089582430098
25	0.9224137931034482	12.734473145486444
26	0.9393103448275861	12.682368186477271
27	0.9562068965517241	12.427229110061546
28	0.973103448275862	12.132412419514653
29	0.99	11.673588662262743
