Occupation Probability,Resistance
0.5,0
0.516896551724138,0
0.533793103448276,0
0.550689655172414,0
0.567586206896552,0
0.58448275862069,208
0.601379310344828,221.666666666667
0.618275862068965,158.448023897059
0.635172413793103,81.0663850714515
0.652068965517241,51.0664140025854
0.668965517241379,37.3476951534505
0.685862068965517,27.5183865136858
0.702758620689655,22.6020854887558
0.719655172413793,17.9995604822772
0.736551724137931,17.6444885436739
0.753448275862069,16.6300157279649
0.770344827586207,16.2383374741639
0.787241379310345,15.8161543524075
0.804137931034483,15.1639492283505
0.821034482758621,14.9327938994129
0.837931034482759,14.5187776983812
0.854827586206897,14.0702294377795
0.871724137931034,13.7338537504555
0.888620689655172,13.4339241719246
0.90551724137931,12.9810895824301
0.922413793103448,12.7344731454864
0.939310344827586,12.6823681864773
0.956206896551724,12.4272291100615
0.973103448275862,12.1324124195147
0.99,11.6735886622627
