Occupation Probability	Resistance
0.5	0.0
0.5102020408163266	0.0
0.5204040816326531	0.0
0.5306061224489796	0.0
0.5408081632653061	0.0
0.5510102040816327	0.0
0.5612122448979592	0.0
0.5714142857142858	171.79337899543378
0.5816163265306122	218.71428571428572
0.5918183673469388	206.23076923076923
0.6020204081632653	178.21663223866497
0.6122224489795919	146.89990058730186
0.6224244897959184	98.50750860784532
0.6326265306122449	80.8051667227616
0.6428285714285714	75.41221458499234
0.653030612244898	58.605012773730905
0.6632326530612245	53.84899373410617
0.6734346938775511	53.30238884087031
0.6836367346938775	51.783894898289454
0.6938387755102041	49.485495091104895
0.7040408163265306	47.86864896852846
0.7142428571428572	47.42900811566826
0.7244448979591837	46.6321188609416
0.7346469387755102	44.97761028595086
0.7448489795918367	44.59874327968249
0.7550510204081633	43.0452606336615
0.7652530612244899	43.166795386178904
0.7754551020408164	42.499462634042764
0.7856571428571428	41.6112443294373
0.7958591836734694	41.48609269717794
0.806061224489796	40.74277691057081
0.8162632653061225	39.97662859337076
0.826465306122449	39.874878005645975
0.8366673469387755	39.367319273059636
0.8468693877551021	38.67960623817734
0.8570714285714286	38.509404243535016
0.8672734693877551	38.01295603270435
0.8774755102040817	37.84379943581173
0.8876775510204082	37.37628471176079
0.8978795918367347	37.06299699270344
0.9080816326530612	36.63719275032745
0.9182836734693878	36.38050713974239
0.9284857142857144	35.871251245568175
0.9386877551020408	35.63046896116288
0.9488897959183673	35.31950647058863
0.9590918367346939	34.91039183566083
0.9692938775510205	34.72934439140862
0.979495918367347	34.26108315267886
0.9896979591836735	33.935096776116396
0.9999	33.47703332498121
